label,type,author,title,journal,year,volume,number,month,doi,art_number,article_number,url,eissn,document_type,unique_id,source,issn,note,earlyaccessdate,researcherid_numbers,pages,orcid_numbers,organization,editor,booktitle,series,isbn,filename,n_duplicates,citation,screened_titles,notes
X.WOS.000411592600024,article,"Carlson, Colin J. and Burgio, Kevin R. and Dougherty, Eric R. and Phillips, Anna J. and Bueno, Veronica M. and Clements, Christopher F. and Castaldo, Giovanni and Dallas, Tad A. and Cizauskas, Carrie A. and Cumming, Graeme S. and Dona, Jorge and Harris, Nyeema C. and Jovani, Roger and Mironov, Sergey and Muellerklein, Oliver C. and Proctor, Heather C. and Getz, Wayne M.",Parasite biodiversity faces extinction and redistribution in a changing climate,SCIENCE ADVANCES,2017,3,9,SEP,10.1126/sciadv.1602422,NA,e1602422,NA,NA,NA,WOS:000411592600024,NA,2375-2548,NA,NA,"Cumming, Graeme/B-6551-2008 Proctor, Heather C./A-2677-2014 Dallas, Tad/H-5577-2019 Phillips, Anna J/H-6141-2019 Burgio, Kevin R./AAW-8314-2020 Dona, Jorge/E-9544-2015 Jovani, Roger/C-7080-2013",NA,"Cumming, Graeme/0000-0002-3678-1326 Proctor, Heather C./0000-0002-4920-9556 Dallas, Tad/0000-0003-3328-9958 Phillips, Anna J/0000-0003-4883-0022 Burgio, Kevin R./0000-0002-8375-2501 Clements, Christopher/0000-0001-5677-5401 Dona, Jorge/0000-0002-5075-9627 Jovani, Roger/0000-0002-8693-9742",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Parasite Biodiversity Faces Extinction and Redistribution in a Changing Climate.,selected,NA
X.WOS.000733805500001,article,"Morris, Shane D. and Kearney, Michael R. and Johnson, Christopher N. and Brook, Barry W.",Too hot for the devil? Did climate change cause the mid-Holocene extinction of the Tasmanian devil Sacrophilus harrisii from mainland Australia?,ECOGRAPHY,2022,2022,2,FEB,10.1111/ecog.05799,NA,NA,NA,1600-0587,NA,WOS:000733805500001,NA,0906-7590,NA,DEC 2021,"Kearney, Michael/R-3404-2017 Johnson, Chris/J-7894-2014 Brook, Barry/G-2686-2011",NA,"Kearney, Michael/0000-0002-3349-8744 Johnson, Chris/0000-0002-9719-3771 Brook, Barry/0000-0002-2491-1517",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Too Hot for the Devil? Did Climate Change Cause the Mid-Holocene Extinction of the Tasmanian Devil Sacrophilus Harrisii from Mainland Australia?,selected,NA
Anselmo202217,ARTICLE,"Anselmo, L. and Rizzioli, B.",The small range and the great threat: extinction risk assessment of the narrow endemism Carabus cychroides under climate change,Journal of Insect Conservation,2022,26,1,NA,10.1007/s10841-021-00357-0,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118218484&doi=10.1007%2fs10841-021-00357-0&partnerID=40&md5=3d4a046779ab025fb02f024a2e2bd331,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,17-27,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,The Small Range and the Great Threat: Extinction Risk Assessment of the Narrow Endemism Carabus Cychroides under Climate Change.,selected,NA
Tofanelli2022,ARTICLE,"Tofanelli, S. and Bertoncini, S. and Donati, G.","Early Human Colonization, Climate Change and Megafaunal Extinction in Madagascar: The Contribution of Genetics in a Framework of Reciprocal Causations",Frontiers in Ecology and Evolution,2022,9,NA,NA,10.3389/fevo.2021.708345,708345,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124095180&doi=10.3389%2ffevo.2021.708345&partnerID=40&md5=27b8a088177b2cd58afcd46633236ec5,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Early Human Colonization, Climate Change and Megafaunal Extinction in Madagascar: The Contribution of Genetics in a Framework of Reciprocal Causations.",selected,NA
Monroy.Gamboa202279,ARTICLE,"Monroy-Gamboa, A.G. and Cab-Sulub, L. and Ãlvarez-CastaÃ±eda, S.T.",Extinction of endemic taxa as a direct consequence of global climate change,Therya,2022,13,1,NA,10.12933/therya-22-1210,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122312459&doi=10.12933%2ftherya-22-1210&partnerID=40&md5=9ef3e521b5fe7635e414d819308e39bb,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,79-84,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Extinction of Endemic Taxa as a Direct Consequence of Global Climate Change.,selected,NA
Pier2021,ARTICLE,"Pier, J.Q. and Brisson, S.K. and Beard, J.A. and Hren, M.T. and Bush, A.M.",Accelerated mass extinction in an isolated biota during Late Devonian climate changes,Scientific Reports,2021,11,1,NA,10.1038/s41598-021-03510-6,24366,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121516033&doi=10.1038%2fs41598-021-03510-6&partnerID=40&md5=47c2d4d6a3f1705e70acf3c58afd710b,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Accelerated Mass Extinction in an Isolated Biota During Late Devonian Climate Changes.,selected,NA
X.WOS.000725432900001,article,"Longman, Jack and Mills, Benjamin J. W. and Manners, Hayley R. and Gernon, Thomas M. and Palmer, Martin R.",Late Ordovician climate change and extinctions driven by elevated volcanic nutrient supply,"NATURE GEOSCIENCE",2021,14,12,DEC,10.1038/s41561-021-00855-5,NA,NA,NA,1752-0908,NA,WOS:000725432900001,NA,1752-0894,NA,DEC 2021,NA,924+,"Longman, Jack/0000-0002-2725-2617 Gernon, Thomas/0000-0002-7717-2092 Mills, Benjamin/0000-0002-9141-0931 Manners, Hayley/0000-0001-8545-4463",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Late Ordovician Climate Change and Extinctions Driven by Elevated Volcanic Nutrient Supply.,selected,NA
Baumbach2021,ARTICLE,"Baumbach, L. and Warren, D.L. and Yousefpour, R. and Hanewinkel, M.",Climate change may induce connectivity loss and mountaintop extinction in Central American forests,Communications Biology,2021,4,1,NA,10.1038/s42003-021-02359-9,869,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110734045&doi=10.1038%2fs42003-021-02359-9&partnerID=40&md5=53aaaf007991c7c93b2015d9bb889d49,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change may Induce Connectivity Loss and Mountaintop Extinction in Central American Forests.,selected,NA
X.WOS.000692733600001,article,"Borges, Francisco O. and Santos, Catarina P. and Paula, Jose R. and Mateos-Naranjo, Enrique and Redondo-Gomez, Susana and Adams, Janine Barbara and Cacador, Isabel and Fonseca, Vanessa F. and Reis-Santos, Patrick and Duarte, Bernardo and Rosa, Rui",Invasion and Extirpation Potential of Native and Invasive Spartina Species Under Climate Change,FRONTIERS IN MARINE SCIENCE,2021,8,NA,AUG 17,10.3389/fmars.2021.696333,NA,696333,NA,2296-7745,NA,WOS:000692733600001,NA,NA,NA,NA,"Borges, Francisco/J-4028-2019 Duarte, Bernardo/H-2001-2011 Reis-Santos, Patrick/M-9972-2019 Fonseca, Vanessa/B-3696-2012 Cacador, Isabel/C-2618-2012 Rosa, Rui/A-4580-2009",NA,"Borges, Francisco/0000-0002-3911-0421 Duarte, Bernardo/0000-0003-1914-7435 Reis-Santos, Patrick/0000-0001-9843-9465 Fonseca, Vanessa/0000-0002-6374-1194 Cacador, Isabel/0000-0002-4475-6091 Rosa, Rui/0000-0003-2801-5178",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Invasion and Extirpation Potential of Native and Invasive Spartina Species under Climate Change.,selected,NA
X.WOS.000649809500001,article,"Naujokaitis-Lewis, Ilona and Endicott, Sarah and Guezen, Jessica",Treatment of climate change in extinction risk assessments and recovery plans for threatened species,CONSERVATION SCIENCE AND PRACTICE,2021,3,8,AUG,10.1111/csp2.450,NA,e450,NA,2578-4854,NA,WOS:000649809500001,NA,NA,NA,MAY 2021,NA,NA,"Guezen, Jessica/0000-0001-5841-6699 Endicott, Sarah/0000-0001-9644-5343 Naujokaitis-Lewis, Ilona/0000-0001-9504-4484",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Treatment of Climate Change in Extinction Risk Assessments and Recovery Plans for Threatened Species.,selected,NA
