label,type,author,title,journal,year,volume,number,month,doi,art_number,abstract,url,article_number,eissn,document_type,unique_id,source,issn,note,earlyaccessdate,researcherid_numbers,pages,orcid_numbers,organization,editor,booktitle,series,isbn,filename,n_duplicates,citation,screened_titles,notes,screened_abstracts
X.WOS.000411592600024,article,"Carlson, Colin J. and Burgio, Kevin R. and Dougherty, Eric R. and Phillips, Anna J. and Bueno, Veronica M. and Clements, Christopher F. and Castaldo, Giovanni and Dallas, Tad A. and Cizauskas, Carrie A. and Cumming, Graeme S. and Dona, Jorge and Harris, Nyeema C. and Jovani, Roger and Mironov, Sergey and Muellerklein, Oliver C. and Proctor, Heather C. and Getz, Wayne M.",Parasite biodiversity faces extinction and redistribution in a changing climate,SCIENCE ADVANCES,2017,3,9,SEP,10.1126/sciadv.1602422,NA,"Climate change is a well-documented driver of both wildlife extinction and disease emergence, but the negative impacts of climate change on parasite diversity are undocumented. We compiled the most comprehensive spatially explicit data set available for parasites, projected range shifts in a changing climate, and estimated extinction rates for eight major parasite clades. On the basis of 53,133 occurrences capturing the geographic ranges of 457 parasite species, conservative model projections suggest that 5 to 10\% of these species are committed to extinction by 2070 from climate-driven habitat loss alone. We find no evidence that parasites with zoonotic potential have a significantly higher potential to gain range in a changing climate, but we do find that ectoparasites (especially ticks) fare disproportionately worse than endoparasites. Accounting for host-driven coextinctions, models predict that up to 30\% of parasitic worms are committed to extinction, driven by a combination of direct and indirect pressures. Despite high local extinction rates, parasite richness could still increase by an order of magnitude in some places, because species successfully tracking climate change invade temperate ecosystems and replace native species with unpredictable ecological consequences.",NA,e1602422,NA,NA,WOS:000411592600024,NA,2375-2548,NA,NA,"Cumming, Graeme/B-6551-2008 Proctor, Heather C./A-2677-2014 Dallas, Tad/H-5577-2019 Phillips, Anna J/H-6141-2019 Burgio, Kevin R./AAW-8314-2020 Dona, Jorge/E-9544-2015 Jovani, Roger/C-7080-2013",NA,"Cumming, Graeme/0000-0002-3678-1326 Proctor, Heather C./0000-0002-4920-9556 Dallas, Tad/0000-0003-3328-9958 Phillips, Anna J/0000-0003-4883-0022 Burgio, Kevin R./0000-0002-8375-2501 Clements, Christopher/0000-0001-5677-5401 Dona, Jorge/0000-0002-5075-9627 Jovani, Roger/0000-0002-8693-9742",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Parasite Biodiversity Faces Extinction and Redistribution in a Changing Climate.,selected,NA,selected
X.WOS.000733805500001,article,"Morris, Shane D. and Kearney, Michael R. and Johnson, Christopher N. and Brook, Barry W.",Too hot for the devil? Did climate change cause the mid-Holocene extinction of the Tasmanian devil Sacrophilus harrisii from mainland Australia?,ECOGRAPHY,2022,2022,2,FEB,10.1111/ecog.05799,NA,"The possible role of climate change in late Quaternary animal extinctions is hotly debated, yet few studies have investigated its direct effects on animal physiology to assess whether past climate changes might have had significant impacts on now-extinct species. Here we test whether climate change could have imposed physiological stress on the Tasmanian devil Sarcophilus harrisii during the mid-Holocene, when the species went extinct on mainland Australia. Physiological values for the devil were quantified using mechanistic niche models of energy and water requirements for thermoregulation, and soil-moisture-based indices of plant stress from drought to indirectly represent food and water availability. The spatial pervasiveness, extremity and frequency of physiological stresses were compared between a period of known climatic and presumed demographic stability (8000-6010 BP) and the extinction period (5000-3010 BP). We found no evidence of widespread negative effects of climate on physiological parameters for the devil on the mainland during its extinction window. This leaves cultural and demographic changes in the human population or competition from the dingo Canis dingo as the main contending hypotheses to explain mainland loss of the devil in the mid-Holocene.",NA,NA,1600-0587,NA,WOS:000733805500001,NA,0906-7590,NA,DEC 2021,"Kearney, Michael/R-3404-2017 Johnson, Chris/J-7894-2014 Brook, Barry/G-2686-2011",NA,"Kearney, Michael/0000-0002-3349-8744 Johnson, Chris/0000-0002-9719-3771 Brook, Barry/0000-0002-2491-1517",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Too Hot for the Devil? Did Climate Change Cause the Mid-Holocene Extinction of the Tasmanian Devil Sacrophilus Harrisii from Mainland Australia?,selected,NA,selected
Anselmo202217,ARTICLE,"Anselmo, L. and Rizzioli, B.",The small range and the great threat: extinction risk assessment of the narrow endemism Carabus cychroides under climate change,Journal of Insect Conservation,2022,26,1,NA,10.1007/s10841-021-00357-0,NA,"Abstract: The extinction risk assessment of a high altitude species with narrow distribution must primarily consider the intrinsic threats related to a small geographic range and to the effects of climate change on small scale. In this paper we estimated the current and future distribution of the narrow endemism of the Cottian Alps Carabus cychroides, one of the most localized ground beetles in Europe. This species was researched within the sites of historical presence and on the mountain ridges connected to them, recording its presence in new limited areas. The distribution of the species was modeled with fine-grained environmental variables with 25Â m-resolution, in order to identify the presence of microrefugia and obtain an estimate as accurate as possible of the expected variation in geographic range. The results underline the faltering conservation status of C. cychroides, which in the most pessimistic greenhouse gas emissions scenario could become extinct at the end of the 21st century. Furthermore, its narrow distribution appears extremely fragmented and connectivity between suitable patches would decline rapidly in the coming decades. For these reasons and according to the IUCN Red List categories and criteria, we suggest that C. cychroides should be considered an endangered species. Implications for insect conservation: The assessment carried out in this study contributes to the distributive and ecological knowledge of one of the most localized ground beetles in Europe. The methodology used to model its distribution constitutes an helpful alternative to the more common use of coarse resolution variables, making possible the identification of potential microrefugia and therefore a more accurate estimation of the size, fragmentation and connectivity of the geographic range of a species that occupies such a small area. Â© 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118218484&doi=10.1007%2fs10841-021-00357-0&partnerID=40&md5=3d4a046779ab025fb02f024a2e2bd331,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,17-27,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,The Small Range and the Great Threat: Extinction Risk Assessment of the Narrow Endemism Carabus Cychroides under Climate Change.,selected,NA,selected
Tofanelli2022,ARTICLE,"Tofanelli, S. and Bertoncini, S. and Donati, G.","Early Human Colonization, Climate Change and Megafaunal Extinction in Madagascar: The Contribution of Genetics in a Framework of Reciprocal Causations",Frontiers in Ecology and Evolution,2022,9,NA,NA,10.3389/fevo.2021.708345,708345,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124095180&doi=10.3389%2ffevo.2021.708345&partnerID=40&md5=27b8a088177b2cd58afcd46633236ec5,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Early Human Colonization, Climate Change and Megafaunal Extinction in Madagascar: The Contribution of Genetics in a Framework of Reciprocal Causations.",selected,NA,selected
Monroy.Gamboa202279,ARTICLE,"Monroy-Gamboa, A.G. and Cab-Sulub, L. and Ãlvarez-CastaÃ±eda, S.T.",Extinction of endemic taxa as a direct consequence of global climate change,Therya,2022,13,1,NA,10.12933/therya-22-1210,NA,"Global climate change occurs from both natural and anthropic causes. Anthropic climate change has effects at various scales and occurs faster than the adaptation of species to these changes. Protected natural areas have been created to preserve species from the different threats facing them. Sierra La Laguna is a sky island with almost no anthropic pressure given its natural isolation; it is home to several endemic taxa, including Peromyscus truei lagunae and Sorex ornatus lagunae. This study aims to assess the possible impact of climate change on species endemic to a sky island exposed to virtually no local anthropic pressure. The Sierra La Laguna sky island, located in the southern region of the Baja California peninsula, harbors different vegetation types, including an oak-pine forest at the highest elevations and xeric vegetation at lower ones. Ecological niche models were developed under three climate change scenarios contemplating temperature rises of 1.5 Â°C and 4.4 Â°C. There are insufficient localities to make statistically robust models for mammalian species. Therefore, we used plant species typical of the oak-pine forest (Pinus cembroides lagunae, Quercus brandegeei, and Q. devia) and the rodents Peromyscus eva, that thrives in dry deciduous forests, and Chaetodipus rudinoris and C. spinatus, associated with xeric ecosystems. The models show that ecological suitability for the oak species decreases, while it is completely lost for the pine species. On the other hand, P. eva broadens its elevational range, while C. rudinoris and C. spinatus increase their ecological suitability in both area and elevation. The Sierra La Laguna sky island is an area with virtually no regional or local anthropic pressure. Nonetheless, the projections conducted under various climate change scenarios show a loss of up to 100 % of the area of climatic and elevational suitability for species characteristic of the oak-pine forest even with the minimum temperature rise of 1.5 Â°C. These results suggest that, under these conditions, endemic species such as P. t. lagunae and S. o. lagunae will become extinguished despite the absence of local anthropic pressures. Â© 2022 AsociaciÃ³n Mexicana de MastozoologÃ­a, www.mastozoologiamexicana.org.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122312459&doi=10.12933%2ftherya-22-1210&partnerID=40&md5=9ef3e521b5fe7635e414d819308e39bb,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,79-84,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Extinction of Endemic Taxa as a Direct Consequence of Global Climate Change.,selected,NA,selected
Pier2021,ARTICLE,"Pier, J.Q. and Brisson, S.K. and Beard, J.A. and Hren, M.T. and Bush, A.M.",Accelerated mass extinction in an isolated biota during Late Devonian climate changes,Scientific Reports,2021,11,1,NA,10.1038/s41598-021-03510-6,24366,"The fossil record can illuminate factors that contribute to extinction risk during times of global environmental disturbance; for example, inferred thermal tolerance was an important predictor of extinction during several mass extinctions that corresponded with climate change. Additionally, members of geographically isolated biotas may face higher risk because they have less opportunity to migrate to suitable climate refugia during environmental disturbances. Here, we investigate how different types of risk intersect in the well-preserved brachiopod fauna of the Appalachian Foreland Basin during the two pulses of the Frasnianâ€“Famennian mass extinction (Late Devonian, ~ 372 Ma). The selectivity of extinction is consistent with climate change (cooling) as a primary kill mechanism in this fauna. Overall, the extinction was mild relative to other regions, despite the many endemic species. However, vulnerable taxa went extinct more rapidly, during the first extinction pulse, such that the second pulse was insignificant. These results suggest that vulnerable taxa in geographically isolated biotas face heightened extinction risk at the initiation of environmental stress, but that taxa in other regions may eventually see elevated extinction risk if environmental stress repeats or intensifies. Â© 2021, The Author(s).",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121516033&doi=10.1038%2fs41598-021-03510-6&partnerID=40&md5=47c2d4d6a3f1705e70acf3c58afd710b,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Accelerated Mass Extinction in an Isolated Biota During Late Devonian Climate Changes.,selected,NA,selected
X.WOS.000692733600001,article,"Borges, Francisco O. and Santos, Catarina P. and Paula, Jose R. and Mateos-Naranjo, Enrique and Redondo-Gomez, Susana and Adams, Janine Barbara and Cacador, Isabel and Fonseca, Vanessa F. and Reis-Santos, Patrick and Duarte, Bernardo and Rosa, Rui",Invasion and Extirpation Potential of Native and Invasive Spartina Species Under Climate Change,FRONTIERS IN MARINE SCIENCE,2021,8,NA,AUG 17,10.3389/fmars.2021.696333,NA,"Coastal areas host some of the planet's most productive ecosystems, providing life-sustaining ecological services and several benefits to humankind, while also being some of the most threatened areas (e.g., by globalization, climate change, and biological invasion). Salt marshes are coastal habitats with a key role in food and shelter provisioning, sediment deposition, nutrient cycling and carbon storage. Spartina spp. is a genus of grass halophytes which occurs in salt marshes worldwide, and includes species with different invasive potential. We evaluated the effect of climate change in the distribution and invasion potential of five Spartina species (S. anglica, S. alterniflora, S. densiflora, S. patens, and S. maritima) at a global scale. Species distribution models (SDMs) were applied on species occurrence data and atmospheric environmental predictors (WorldClim 2.1) to project potential changes in habitat suitability and associated changes in distribution and species co-occurrence until the end of the century, across four Shared Socioeconomic Pathway scenarios (i.e., SSP1-2.6 to SSP5-8.5). Projections showed a global trend for increasing species co-occurrence, with a general range expansion potentiated by increasing pathway severity. This study suggests that Spartina species can potentially benefit from climate change, predicting poleward expansions in the Northern Hemisphere for most species, with results pointing at increased conflict and invasion potential in Northern Europe and East Asian shorelines, already under strong invasive pressure. S. anglica is projected to remain a successful invader, with more severe scenarios likely favoring greater expansions. S. alterniflora exhibits very low expansion comparatively, despite exhibiting the same northward distribution shift. SSP1-2.6 produced the smallest change to species co-occurrence, suggesting a smaller potential for invasion-related conflicts, although still registering a potential net expansion for the Genus. Despite their limitations, SDMs can help establish general trends in climate change ecology and inform policymakers and environmental agents to ensure the correct management of these habitats and, ultimately, ecosystems.",NA,696333,2296-7745,NA,WOS:000692733600001,NA,NA,NA,NA,"Borges, Francisco/J-4028-2019 Duarte, Bernardo/H-2001-2011 Reis-Santos, Patrick/M-9972-2019 Fonseca, Vanessa/B-3696-2012 Cacador, Isabel/C-2618-2012 Rosa, Rui/A-4580-2009",NA,"Borges, Francisco/0000-0002-3911-0421 Duarte, Bernardo/0000-0003-1914-7435 Reis-Santos, Patrick/0000-0001-9843-9465 Fonseca, Vanessa/0000-0002-6374-1194 Cacador, Isabel/0000-0002-4475-6091 Rosa, Rui/0000-0003-2801-5178",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Invasion and Extirpation Potential of Native and Invasive Spartina Species under Climate Change.,selected,NA,selected
Bellin2021,ARTICLE,"Bellin, N. and Spezzano, R. and Rossi, V.",Assessing the extinction risk of heterocypris incongruens (Crustacea: Ostracoda) in climate change with sensitivity and uncertainty analysis,Water (Switzerland),2021,13,13,NA,10.3390/w13131828,1828,"Organisms respond to climate change in many different ways and their local extinction risk may vary widely among taxa. Crustaceans from freshwater temporary ponds produce resting eggs to cope with environmental uncertainty and, as a consequence, egg banks have a fundamental role for population persistence. The egg bank dynamics of six clonal lineages of Heterocypris incongruens (Ostracoda) from Northern Italy were simulated. Clonal lineages W1 and W2 are the most common â€œwinter ecotypesâ€, clonal lineages S1 and S2 are allochthonous â€œsummer ecotypesâ€ and clonal lineages I1 and I2 are relatively rare and generalist in terms of seasonality. Fecundity and proportion of resting eggs vary by clonal lineage, temperature and photoperiod. The clonal extinction risk was estimated in present climate conditions and under climate change. For comparison, and to assess the potential colonization of northern ponds, clonal lineages from Lampedusa Island (Southern Italy), L, were considered. Cohenâ€™s general model was used for simulating egg bank dynamics and the extinction rate of each clonal lineage was estimated with uncertainty analysis. A 30 year simulation in present and climate change conditions was carried out. Extinction rates were lower in climate change conditions than in present conditions. Hydroperiod, hatching rate and egg deterioration rate were the critical factors that affected extinction rates. Extinction rates varied among clonal lineages. This suggests that H. incongruens might be able to have multiple responses to climate change due to its genetic diversity. In climate change conditions, W clonal lineages underwent a niche expansion, while a mismatch between photoperiod and hydroperiod might generate a detrimental effect on the phenology of summer S clonal lineages that might cause their extinction. Southern clonal lineages L, showing an intermediate extinction rate, might colonize northern temporary ponds. Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109985642&doi=10.3390%2fw13131828&partnerID=40&md5=04c62e333ef70670a55455835520f28d,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Assessing the Extinction Risk of Heterocypris Incongruens (Crustacea: Ostracoda) in Climate Change with Sensitivity and Uncertainty Analysis.,selected,NA,selected
Sperle2021282,ARTICLE,"Sperle, T. and Bruelheide, H.",Climate change aggravates bog species extinctions in the Black Forest (Germany),Diversity and Distributions,2021,27,2,NA,10.1111/ddi.13184,NA,"Aim: Bogs and transition mires in Central Europe have undergone tremendous changes in the last decades, declining in spatial extent and favourable conservation status. However, species extinctions have been documented only rarely because of a lack of reliable floristic data. Here, we assessed species losses of bog complexes and analysed their potential drivers. Location: Black Forest, Germany. Methods: We made use of the unique situation that the majority of bogs in the Black Forest (124 sites) had been systematically surveyed from 1972 to 1980 and resurveyed the flora of the same sites between 2017 and 2020. In addition, we included further data from the preceding decades. Results: Out of 88 species for which we compiled site occupancy data, two species went extinct in the whole study area and 37 decreased from 1972 to 2020, losing on average 33% of their initial frequency. In contrast, 46 species displayed a positive trend. While decreasing species were characteristic of raised bogs, moorland ponds and base-rich mires, increasing species were typical of poor mires, fens and wet meadows. Species losses were higher at low elevation, pointing to increasing temperature increase and decreasing precipitation as main drivers of extinction, while habitat area, distance to the nearest site and land use played no significant role. The mean altitude at which extinctions of populations occurred increased with time. Assuming a continuation of the observed negative trends for declining bog species, our models predict the extinction of further ten species by 2045. Main Conclusion: Our study highlights the value of systematic and comprehensive past biodiversity surveys to assess biodiversity change. We demonstrated that low-mountain habitats have already suffered biodiversity loss as a result of climate change. There are only limited management options against rising temperatures and decreasing precipitation. Â© 2020 The Authors. Diversity and Distributions published by John Wiley & Sons Ltd.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093928290&doi=10.1111%2fddi.13184&partnerID=40&md5=9199507efb236d4b278745f809f2b211,NA,NA,Article,NA,Scopus,NA,cited By 3,NA,NA,282-295,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change Aggravates Bog Species Extinctions in the Black Forest (Germany),selected,NA,selected
Yusefi20211,ARTICLE,"Yusefi, G.H.","Conservation Biogeography of the Terrestrial Mammals in Iran: Diversity Patterns, and Vulnerability to Climate Change and Extinction",Frontiers of Biogeography,2021,13,2,NA,10.21425/F5FBG49765,e49765,"Under the framework of a â€œconservation biogeographyâ€ approach, initially, I reviewed and updated the taxonomy and distribution of the rich but understudied mammalian diversity of Iran. This data then formed the basis for the biogeographical regionalization of this complex transitional area using hierarchical clustering and infomap network methods. I used linear models to explore the correlates of extinction risk for this threatened mammalian fauna. Functional grouping of target species was used to assess their vulnerability to the magnitude and velocity of climate change impacts. Both clustering and network methods successfully illuminated the intricate biogeographic patterns, while the network detected many more small bioregions, including two transition zones. The extinction risk analyses revealed that direct human impacts through hunting and persecution played a major role in the decline of these taxa, as opposed to the minor effect of indirect and intrinsic and extrinsic factors. The magnitude and velocity of climate change impacts varied significantly between functional groups, with the highest risk of exposure to extreme climates in large and threatened species occurring in lowlands. This study provides a foundation for future biogeographic, systematics and ecological studies of Iranian mammals while simultaneously adding to the limited available information on the bioregionalization at regional scales. It also highlights the importance of incorporating threats in extinction risk models and functional trait information in climate change impact assessments. Â© the authors, CC-BY 4.0 license",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109438619&doi=10.21425%2fF5FBG49765&partnerID=40&md5=b007fe674890e47d1b441423e11874ad,NA,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,1-12,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Conservation Biogeography of the Terrestrial Mammals in Iran: Diversity Patterns, and Vulnerability to Climate Change and Extinction.",selected,NA,selected
